Card,Date,Description,Amount,Category
Bank of America Custom Cash Rewards,11/15/2023,AMZN MKTP US*TC8WI18F1 SEATTLE WA,-20.99,Uncategorized
Bank of America Custom Cash Rewards,11/14/2023,AMZN MKTP US SEATTLE WA,264.95,Uncategorized
Bank of America Custom Cash Rewards,02/26/2024,Online payment from CHK 7040,11.63,Uncategorized
Bank of America Custom Cash Rewards,02/24/2024,DTE ENERGY DETROIT MI,-48.55,Uncategorized
Bank of America Custom Cash Rewards,02/22/2024,PAYMENT - THANK YOU,450.0,Uncategorized
Bank of America Custom Cash Rewards,02/19/2024,PLAY IT AGAIN SPORTS ANN ARBOR MI,-434.58,Uncategorized
Bank of America Custom Cash Rewards,01/09/2024,AMAZON.COM*TK3ET8QU2 SEATTLE WA,-7.19,Uncategorized
Bank of America Custom Cash Rewards,01/08/2024,MEIJER STORE #064 ANN ARBOR MI,-1.79,Uncategorized
Bank of America Custom Cash Rewards,01/08/2024,ONLYFANS.COM*A 8886880458 FL,-3.0,Uncategorized
Bank of America Custom Cash Rewards,01/08/2024,ONLYFANS.COM*A 8886880458 FL,-25.0,Uncategorized
Bank of America Custom Cash Rewards,01/04/2024,TARGET 00006346 ANN ARBOR MI,-11.86,Uncategorized
Bank of America Custom Cash Rewards,01/02/2024,Online payment from CHK 7040,700.0,Uncategorized
Bank of America Custom Cash Rewards,01/02/2024,AMZN MKTP US*T30KO79H3 SEATTLE WA,-15.89,Uncategorized
Bank of America Custom Cash Rewards,01/02/2024,TARGET 00006346 ANN ARBOR MI,-15.35,Uncategorized
Bank of America Custom Cash Rewards,12/30/2023,USCIS (IV FEE) WASHINGTON DC,-220.0,Uncategorized
Bank of America Custom Cash Rewards,12/30/2023,USCIS (IV FEE) WASHINGTON DC,-220.0,Uncategorized
Bank of America Custom Cash Rewards,12/30/2023,USCIS (IV FEE) WASHINGTON DC,-220.0,Uncategorized
Bank of America Custom Cash Rewards,12/27/2023,aliexpress San Mateo CA,-10.99,Uncategorized
Bank of America Custom Cash Rewards,12/27/2023,AMZN MKTP US*JS9ZC32Q3 SEATTLE WA,-31.54,Uncategorized
Bank of America Custom Cash Rewards,12/23/2023,AMAZON.COM*7P8H40DI3 SEATTLE WA,-229.12,Uncategorized
Bank of America Custom Cash Rewards,12/22/2023,AMZN Mktp US*PX5N62Y43 Amzn.com/billWA,-21.19,Uncategorized
Bank of America Custom Cash Rewards,12/22/2023,AMZN MKTP US*JE4OR6733 SEATTLE WA,-63.58,Uncategorized
Bank of America Custom Cash Rewards,12/21/2023,Amazon Prime Amzn.com/billWA,1.27,Uncategorized
Bank of America Custom Cash Rewards,12/21/2023,Amazon Prime*C008V2OT3 Amzn.com/billWA,-73.14,Uncategorized
Bank of America Custom Cash Rewards,12/18/2023,AMZN MKTP US SEATTLE WA,40.81,Uncategorized
Bank of America Custom Cash Rewards,12/16/2023,NORDSTROM DIRECT #0808 CEDAR RAPIDS IA,116.59,Uncategorized
Bank of America Custom Cash Rewards,12/16/2023,HUDSON ST 1479 SEATAC WA,-34.11,Uncategorized
Bank of America Custom Cash Rewards,02/12/2024,TARGET 00034157 ANN ARBOR MI,-5.71,Uncategorized
Bank of America Custom Cash Rewards,02/10/2024,PAYMENT - THANK YOU,400.0,Uncategorized
Bank of America Custom Cash Rewards,02/05/2024,9651 GREAT CLIPS AT ST ANN ARBOR MI,-26.0,Uncategorized
Bank of America Custom Cash Rewards,02/05/2024,GEICO *AUTO 800-841-3000 DC,-403.69,Uncategorized
Bank of America Custom Cash Rewards,02/03/2024,PAYMENT - THANK YOU,400.0,Uncategorized
Bank of America Custom Cash Rewards,01/30/2024,IKEA 450632156 BALTIMORE MD,-395.27,Uncategorized
Bank of America Custom Cash Rewards,01/30/2024,DTE ENERGY DETROIT MI,-35.26,Uncategorized
Bank of America Custom Cash Rewards,01/27/2024,Online payment from CHK 7040,400.0,Uncategorized
Bank of America Custom Cash Rewards,01/25/2024,YOUNG LIVING 8003713515 UT,-296.16,Uncategorized
Bank of America Custom Cash Rewards,01/24/2024,AMZN MKTP US*R09WA1QN0 SEATTLE WA,-31.79,Uncategorized
Bank of America Custom Cash Rewards,01/22/2024,ONLYFANS.COM*A 8886880458 FL,-5.0,Uncategorized
Bank of America Custom Cash Rewards,01/20/2024,LAUNCHING DEALS 877-9585090 FL,-21.07,Uncategorized
Bank of America Custom Cash Rewards,01/18/2024,NATALIE E HENKE ANN ARBOR MI,-41.0,Uncategorized
Bank of America Custom Cash Rewards,01/17/2024,AMZN MKTP US SEATTLE WA,63.58,Uncategorized
Bank of America Custom Cash Rewards,01/17/2024,AMZN MKTP US SEATTLE WA,15.89,Uncategorized
Costco,12/31/2023,COSTCO WHSE #1106 ANN ARBOR MI,27.97,Uncategorized
Costco,12/31/2023,COSTCO WHSE #1106 ANN ARBOR MI,73.03,Uncategorized
Costco,12/30/2023,UBER TRIP HELP.UBER.COMCA,30.91,Uncategorized
